Date,Shed,Age,Mortality,Bird_Balance,Fresh_Eggs,Crack_Eggs,Leaker_Eggs,Jumbo_Tray,Production_Pct,Fresh_Tray,Bird_Weight,Tray_Weight
2025-06-30,Shed 3,53.3,5.0,21231.0,19230.0,5,2,1,90.58,641.0,,
2025-06-30,Shed 4,51.1,4.0,21547.0,19800.0,25,4,2,91.89,660.0,,
2025-01-07,Shed 1,48.6,4.0,21542.0,20250.0,24,6,2,94.0,675.0,,
2025-01-07,Shed 2,46.4,1.0,21341.0,20100.0,27,5,2,94.18,670.0,,
2025-01-07,Shed 3,53.4,7.0,21224.0,19110.0,0,0,20 p,90.04,637.0,,
2025-01-07,Shed 4,51.2,17.0,21530.0,20010.0,20,1,20 p,92.94,667.0,,
2025-02-07,Shed 1,48.7,1.0,21541.0,20250.0,13,8,2,94.01,675.0,,
2025-02-07,Shed 2,46.5,2.0,21339.0,20250.0,25,10,2,94.9,675.0,,
2025-02-07,Shed 3,53.5,5.0,21219.0,19050.0,24,1,1,89.78,635.0,,
2025-02-07,Shed 4,51.3,12.0,21518.0,20010.0,30,1,13 p,92.99,667.0,,
2025-03-07,Shed 1,49.1,5.0,21536.0,20250.0,14,4,1,94.03,675.0,,
2025-03-07,Shed 2,46.6,4.0,21335.0,20040.0,"2T,25P",5,2,93.93,668.0,,
2025-03-07,Shed 3,53.6,5.0,21214.0,19440.0,24,12,"1T, 20P",91.64,648.0,,
2025-03-07,Shed 4,51.4,13.0,21487.0,19410.0,60,6,"1T,8P",90.33,647.0,,
2025-04-07,Shed 1,49.2,6.0,21530.0,20340.0,14,4,2,94.47,678.0,,
2025-04-07,Shed 2,46.7,2.0,21333.0,20280.0,25,5,2,95.06,676.0,,
2025-04-07,Shed 3,53.7,8.0,21206.0,19110.0,15,3,1,90.12,637.0,,
2025-04-07,Shed 4,51.5,9.0,21470.0,19590.0,30,6,2,91.24,653.0,,
2025-05-07,Shed 1,49.3,12.0,21518.0,20340.0,23,7,3,94.53,678.0,,
2025-05-07,Shed 2,47.1,3.0,21330.0,20190.0,24,3,2,94.66,673.0,,
2025-05-07,Shed 3,54.1,3.0,21203.0,19320.0,5,3,1,91.12,644.0,,
2025-05-07,Shed 4,51.6,6.0,21464.0,19620.0,24,0,1+20,91.41,654.0,,
2025-06-07,Shed 1,49.4,8.0,21510.0,20220.0,24,6,3,94.0,674.0,,
2025-06-07,Shed 2,47.2,1.0,21329.0,19950.0,14,0,2,93.53,665.0,,
2025-06-07,Shed 3,54.2,7.0,21196.0,19200.0,20,3,1,90.58,640.0,,
2025-06-07,Shed 4,51.7,3.0,21456.0,19890.0,18,7,1,92.7,663.0,,
2025-06-20,Shed 2,,,,,1,1,3,3.0,1.0,,
2025-06-22,Shed 1,,,,,,1,3,3.0,1.0,,
2025-06-22,Shed 3,,,,,,,1,90.58,640.0,,
2025-06-22,Shed 1,,,,,,,3,3.0,1.0,,
2025-06-28,Shed 1,,,,,,,3,3.0,1.0,,
2025-06-28,Shed 3,49.5,7.0,,,,,,94.0,674.0,,
2025-06-28,Shed 2,47.3,10.0,,,,,,93.53,665.0,,
2025-06-28,Shed 1,54.3,4.0,,,,,,90.58,640.0,,
2025-06-28,Shed 1,52.1,4.0,,,,,,92.7,663.0,,
2025-06-28,Shed 3,,,,,,,,3.0,1.0,,
2025-05-07,Shed 3,,,,,,,,,1.0,,
2025-07-07,Shed 1,,,,,,,,,,5847.04219479739,
2025-07-07,Shed 1,49.5,7.0,21481.0,20310.0,19,4,3,94.55,677.0,5847.04219479739,
2025-07-07,Shed 2,47.3,10.0,21319.0,20160.0,24,6,2,94.56,672.0,6009.494142771291,
2025-07-07,Shed 3,54.3,4.0,21192.0,19200.0,15,2,1,90.6,640.0,5813.992568851363,
2025-07-07,Shed 4,52.1,4.0,21452.0,19890.0,30,6,1,92.72,663.0,5797.546490384616,
2025-08-07,Shed 1,49.6,8.0,21473.0,20160.0,12,5,2,93.89,672.0,5830.58328125,
2025-08-07,Shed 2,47.4,2.0,21302.0,19950.0,25,5,1,93.65,665.0,5954.171718750001,
2025-08-07,Shed 3,54.4,2.0,21190.0,19140.0,10,5,1,90.33,638.0,5826.453125,
2025-08-07,Shed 4,52.2,2.0,21450.0,19920.0,30,0,25p,92.87,664.0,5766.0884375000005,
2025-09-07,Shed 1,49.7,5.0,21468.0,20130.0,13,4,2,93.77,671.0,5830.58328125,1892.814861111111
2025-09-07,Shed 2,47.5,4.0,21298.0,19920.0,18,4,2,93.53,664.0,5954.171718750001,1908.0786458333332
2025-09-07,Shed 3,54.5,7.0,21157.0,19380.0,2,0,5p,91.6,646.0,5826.453125,1874.851840277778
2025-09-07,Shed 4,52.3,12.0,21438.0,19770.0,30,2,1,92.22,659.0,5766.0884375000005,1886.7037500000001
2025-10-07,Shed 1,50.1,5.0,21463.0,20160.0,13,5,2,93.93,672.0,5830.58328125,1896.2222222222222
2025-10-07,Shed 2,47.6,1.0,21287.0,19950.0,27,3,1,93.72,665.0,5954.171718750001,1902.967569444444
2025-10-07,Shed 3,54.6,4.0,21153.0,19230.0,14,0,1,90.91,641.0,5826.453125,1865.0369444444445
2025-10-07,Shed 4,52.4,9.0,21425.0,20400.0,34,7,1+5p,95.22,680.0,5766.0884375000005,1885.4075
2025-11-07,Shed 1,50.2,4.0,21444.0,20130.0,15,4,2,93.87,671.0,5830.58328125,1896.2222222222222
2025-11-07,Shed 2,47.7,3.0,21284.0,19590.0,32,2,2,92.04,653.0,5954.171718750001,1902.967569444444
2025-11-07,Shed 3,54.7,2.0,21151.0,19110.0,-,-,1,90.35,637.0,5826.453125,1865.0369444444445
2025-11-07,Shed 4,52.5,9.0,21415.0,19260.0,12,2,1+7p,89.94,642.0,5766.0884375000005,1885.4075
2025-12-07,Shed 1,50.3,5.0,21439.0,20100.0,18,3,1,93.75,670.0,5830.58328125,1896.2222222222222
2025-12-07,Shed 2,48.1,4.0,21280.0,20070.0,30,5,1,94.31,669.0,5954.171718750001,1902.967569444444
2025-12-07,Shed 3,55.1,3.0,21148.0,19560.0,12,4,1,92.49,652.0,5826.453125,1865.0369444444445
2025-12-07,Shed 4,52.6,0.0,21415.0,20430.0,10,3,2,95.4,681.0,5766.0884375000005,1885.4075
2025-07-13,Shed 1,50.4,6.0,21433.0,20100.0,15,5,2,93.78,670.0,5847.04219479739,
2025-07-13,Shed 2,48.2,5.0,21275.0,20100.0,13,4,1+12p,94.48,670.0,6009.494142771291,
2025-07-13,Shed 3,55.2,5.0,21143.0,19140.0,5,3,18p,90.53,638.0,5813.992568851363,
2025-07-13,Shed 4,52.7,5.0,21410.0,20190.0,16,4,1,94.3,673.0,5797.546490384616,
2025-07-14,Shed 1,50.5,10.0,21423.0,20100.0,16,6,2,93.82,670.0,5838.549310325092,
2025-07-14,Shed 2,48.3,0.0,21275.0,20130.0,26,4,2,94.62,671.0,5997.17768143315,
2025-07-14,Shed 3,55.3,8.0,21135.0,19590.0,10,2,1,92.69,653.0,5815.5578001351505,
2025-07-14,Shed 4,53.1,5.0,21404.0,19920.0,3,3,3,93.07,664.0,5789.08043956044,
2025-07-15,Shed 1,50.6,8.0,21395.0,20100.0,16,5,1,93.95,670.0,5838.549310325092,
2025-07-15,Shed 2,48.4,1.0,21274.0,20010.0,25,8,2,94.06,667.0,5997.17768143315,
2025-07-15,Shed 3,55.4,4.0,21115.0,19680.0,10,3,1+15p,93.2,656.0,5815.5578001351505,
2025-07-15,Shed 4,53.2,1.0,21401.0,20160.0,14,2,1+20p,94.2,672.0,5789.08043956044,
2025-07-16,Shed 1,50.7,5.0,21390.0,20100.0,15,3,1,93.97,670.0,5838.549310325092,
2025-07-16,Shed 2,48.5,6.0,21268.0,19860.0,27,6,1,93.38,662.0,5997.17768143315,
2025-07-16,Shed 3,55.5,2.0,21113.0,19020.0,5,3,24 p,90.09,634.0,5815.5578001351505,
2025-07-16,Shed 4,53.3,3.0,21398.0,20130.0,10 p,3,1,94.07,671.0,5789.08043956044,
2025-07-17,Shed 1,51.1,6.0,21384.0,20100.0,20,3,2,94.0,670.0,5838.549310325092,
2025-07-17,Shed 2,48.6,5.0,21263.0,20100.0,24,3,2,94.53,670.0,5997.17768143315,
2025-07-17,Shed 3,55.6,2.0,21111.0,19350.0,15,4,1,91.66,645.0,5815.5578001351505,
2025-07-17,Shed 4,53.4,2.0,21396.0,19920.0,3,1,14p,93.1,664.0,5789.08043956044,
2025-07-18,Shed 1,51.2,9.0,21375.0,20100.0,25,5,2,94.04,,5838.549310325092,
2025-07-18,Shed 2,48.7,4.0,21259.0,19890.0,25,5,2,93.56,,5997.17768143315,
2025-07-18,Shed 3,55.7,8.0,21103.0,19260.0,4,3,1,91.27,,5815.5578001351505,
2025-07-18,Shed 4,53.5,2.0,21394.0,20190.0,11,6,1,94.37,,5789.08043956044,
2025-07-19,Shed 1,51.3,3.0,21372.0,20100.0,17,3,2,94.05,,5838.549310325092,
2025-07-19,Shed 2,49.1,6.0,21253.0,19920.0,15,3,1+10p,93.73,,5997.17768143315,
2025-07-19,Shed 3,56.1,9.0,21094.0,19200.0,7,3,23p,91.02,,5815.5578001351505,
2025-07-19,Shed 4,53.6,9.0,21385.0,20040.0,28,5,0,93.71,,5789.08043956044,
2025-07-20,Shed 1,51.4,4.0,21368.0,20100.0,24,7,2,94.07,,5838.549310325092,
2025-07-20,Shed 2,49.2,4.0,21249.0,19860.0,20,5,2,93.46,,5997.17768143315,
2025-07-20,Shed 3,56.2,4.0,21090.0,19380.0,15,8,27 p,91.89,,5815.5578001351505,
2025-07-20,Shed 4,53.7,6.0,21379.0,20340.0,30 p,0,1,95.14,,5789.08043956044,
2025-07-21,Shed 1,51.5,5.0,21363.0,20010.0,15,5,2,93.67,,5856.022667410714,
2025-07-21,Shed 2,49.3,2.0,21247.0,19680.0,20,5,2,92.62,,6000.8522433035705,
2025-07-21,Shed 3,56.3,8.0,21082.0,19290.0,0,0,2 p,91.5,,5834.198415178571,
2025-07-21,Shed 4,54.1,6.0,21373.0,20130.0,11p,5,2,94.18,,5789.1926785714295,
2025-07-22,Shed 1,51.6,6.0,21357.0,20100.0,23,7,1,94.11,,5856.022667410714,
2025-07-22,Shed 2,49.4,5.0,21242.0,20010.0,27,2,2,94.2,,6000.8522433035705,
2025-07-22,Shed 3,56.4,3.0,21079.0,19260.0,18,12,1+18p,91.37,,5834.198415178571,
2025-07-22,Shed 4,54.2,4.0,21369.0,20070.0,6,5,1+4p,93.92,,5789.1926785714295,
2025-07-23,Shed 1,51.7,3.0,21354.0,20100.0,15,5,1,94.13,,5856.022667410714,
2025-07-23,Shed 2,49.5,3.0,21239.0,19920.0,7,0,2,93.79,,6000.8522433035705,
2025-07-23,Shed 3,56.5,2.0,21077.0,19380.0,9,4,1+10p,91.95,,5834.198415178571,
2025-07-23,Shed 4,54.3,1.0,21368.0,20100.0,5,8,1,94.07,,5789.1926785714295,
2025-07-24,Shed 1,52.1,5.0,21334.0,20100.0,15,7,2,94.22,,5856.022667410714,
2025-07-24,Shed 2,50.6,5.0,21215.0,19920.0,20,5,2,93.9,,6000.8522433035705,
2025-07-24,Shed 3,56.6,3.0,21051.0,19440.0,12,9,1+15 p,92.35,,5834.198415178571,
2025-07-24,Shed 4,54.4,6.0,21362.0,20130.0,6,2,1+23p,94.23,,5789.1926785714295,
2025-07-25,Shed 1,52.2,3.0,21331.0,20100.0,24,3,2,94.23,,5856.022667410714,
2025-07-25,Shed 2,50.7,3.0,21212.0,19920.0,18,7,2,93.91,,6000.8522433035705,
2025-07-25,Shed 3,56.7,9.0,21042.0,19380.0,8,6,27 P,92.1,,5834.198415178571,
2025-07-25,Shed 4,54.5,8.0,21354.0,20130.0,7,8,1+3P,94.27,,5789.1926785714295,
2025-07-26,Shed 1,52.3,3.0,21328.0,19980.0,15,4,1,93.68,,5856.022667410714,
2025-07-26,Shed 2,51.1,3.0,21209.0,19620.0,29,3,2,92.51,,6000.8522433035705,
2025-07-26,Shed 3,57.1,4.0,21038.0,19110.0,5,4,26 p,90.84,,5834.198415178571,
2025-07-26,Shed 4,54.6,6.0,21348.0,19860.0,16,6,2,93.03,,5789.1926785714295,
2025-07-27,Shed 1,52.4,2.0,21326.0,20040.0,16,5,1,93.97,,5856.022667410714,
2025-07-27,Shed 2,51.2,5.0,21204.0,19860.0,12,7,2,93.66,,6000.8522433035705,
2025-07-27,Shed 3,57.2,7.0,21031.0,18930.0,8,3,11 p,90.01,,5834.198415178571,
2025-07-27,Shed 4,54.7,6.0,21342.0,19890.0,11,8,1,93.2,,5789.1926785714295,
2025-07-28,Shed 1,52.5,5.0,21321.0,19860.0,20,10,1,93.15,,5830.58328125,
2025-07-28,Shed 2,51.3,8.0,21196.0,19680.0,7,3,8 p,92.85,,5954.171718750001,
2025-07-28,Shed 3,57.3,3.0,21028.0,19080.0,11,2,20 p,90.74,,5826.453125,
2025-07-28,Shed 4,55.1,3.0,21339.0,19980.0,23,7,1,93.63,,5766.0884375000005,
2025-07-29,Shed 1,52.6,5.0,21316.0,19980.0,17,6,1,93.73,,5830.58328125,
2025-07-29,Shed 2,51.4,10.0,21186.0,19620.0,18,12,10 p,92.61,,5954.171718750001,
2025-07-29,Shed 3,57.4,6.0,21022.0,18900.0,29,24,15 p,89.91,,5826.453125,
2025-07-29,Shed 4,55.2,8.0,21331.0,19650.0,28,10,1,92.12,,5766.0884375000005,
2025-07-30,Shed 1,52.7,3.0,21313.0,19980.0,16,13,1,93.75,,5830.58328125,
2025-07-30,Shed 2,51.5,3.0,21183.0,19290.0,26,7,1,91.06,,5954.171718750001,
2025-07-30,Shed 3,57.5,3.0,21019.0,18960.0,8,6,18 p,90.2,,5826.453125,
2025-07-30,Shed 4,55.3,3.0,21328.0,19830.0,24,6,1,92.98,,5766.0884375000005,
2025-07-31,Shed 1,53.1,9.0,21304.0,19920.0,17,15,2,93.5,,5830.58328125,
2025-07-31,Shed 2,51.6,5.0,21178.0,19470.0,16,5,1,91.94,,5954.171718750001,
2025-07-31,Shed 3,57.6,3.0,21016.0,18900.0,11,4,27 p,89.93,,5826.453125,
2025-07-31,Shed 4,55.4,4.0,21324.0,19650.0,14,5,1,92.15,,5766.0884375000005,
2025-01-08,Shed 1,53.2,5.0,21299.0,19620.0,17,9,1,92.12,,,
2025-01-08,Shed 2,51.7,3.0,21175.0,19440.0,26,4,1,91.81,,,
2025-01-08,Shed 3,57.7,2.0,21014.0,18810.0,15,8,20 p,89.51,,,
2025-01-08,Shed 4,55.5,4.0,21320.0,19530.0,11,5,1,91.6,,,
2025-02-08,Shed 1,53.3,5.0,21294.0,19620.0,15,3,1,92.14,,,
2025-02-08,Shed 2,52.1,3.0,21172.0,18930.0,9,5,1,89.41,,,
2025-02-08,Shed 3,58.1,2.0,21012.0,18570.0,15,5,1,88.38,,,
2025-02-08,Shed 4,55.6,4.0,21316.0,19440.0,11,8, 1 P,91.2,,,
2025-03-08,Shed 1,53.4,2.0,21292.0,19620.0,16,5,1,92.15,,,
2025-03-08,Shed 2,52.2,5.0,21167.0,19560.0,6,2,1,92.41,,,
2025-03-08,Shed 3,58.2,7.0,21005.0,19200.0,24,6,1,91.41,,,
2025-03-08,Shed 4,55.7,7.0,21309.0,19950.0,10,8,1,93.62,,,
2025-04-08,Shed 1,53.5,2.0,21290.0,19560.0,15,9,1,91.87,,,
2025-04-08,Shed 2,52.3,6.0,21161.0,19320.0,17,3,1,91.3,,,
2025-04-08,Shed 3,58.3,7.0,20998.0,19170.0,13,4,1,91.29,,,
2025-04-08,Shed 4,56.1,4.0,21305.0,19350.0,17,5,1,90.82,,,
2025-05-08,Shed 1,53.6,4.0,21286.0,19620.0,25,2,1,92.17,,,
2025-05-08,Shed 2,52.4,0.0,21161.0,19170.0,8,2,1+8P,90.59,,,
2025-05-08,Shed 3,58.4,3.0,20995.0,18510.0,7,3,28 P,88.16,,,
2025-05-08,Shed 4,56.2,5.0,21300.0,19770.0,12,8,1,92.82,,,
2025-06-08,Shed 1,53.7,3.0,21283.0,19650.0,17,10,2,92.33,,,
2025-06-08,Shed 2,52.5,4.0,21157.0,19260.0,22,3,1,91.03,,,
2025-06-08,Shed 3,58.5,8.0,20987.0,18960.0,27,3,1,90.34,,,
2025-06-08,Shed 4,56.3,3.0,21297.0,19800.0,15,7,1,92.97,,,
2025-07-08,Shed 1,54.1,3.0,21280.0,19680.0,16,11,1,92.48,,5847.04219479739,
2025-07-08,Shed 2,52.6,2.0,21155.0,19260.0,11,4,1,91.04,,6009.494142771291,
2025-07-08,Shed 3,58.6,6.0,20981.0,18690.0,30,3,1,89.08,,5813.992568851363,
2025-07-08,Shed 4,56.4,3.0,21294.0,19380.0,15,4,1,91.01,,5797.546490384616,
2025-08-08,Shed 1,54.2,9.0,21271.0,19710.0,25,4,2,92.66,,5830.58328125,
2025-08-08,Shed 2,52.7,3.0,21152.0,19260.0,16,6,1,91.06,,5954.171718750001,
2025-08-08,Shed 3,58.7,8.0,20973.0,19200.0,8,7,1,91.55,,5826.453125,
2025-08-08,Shed 4,56.5,7.0,21287.0,19770.0,11,5,1,92.87,,5766.0884375000005,
2025-09-08,Shed 1,54.3,4.0,21267.0,19590.0,16,4,2,92.11,,5830.58328125,1892.814861111111
2025-09-08,Shed 2,53.1,4.0,21148.0,19200.0,9,2,1,90.79,,5954.171718750001,1908.0786458333332
2025-09-08,Shed 3,59.1,9.0,20964.0,18510.0,4,8,24 p,88.29,,5826.453125,1874.851840277778
2025-09-08,Shed 4,56.6,6.0,21281.0,19350.0,6,8,1,90.93,,5766.0884375000005,1886.7037500000001
2025-10-08,Shed 1,54.4,5.0,21262.0,19680.0,21,7,1,92.56,,5830.58328125,1896.2222222222222
2025-10-08,Shed 2,53.2,5.0,21143.0,19140.0,7,5,1,90.53,,5954.171718750001,1902.967569444444
2025-10-08,Shed 3,59.2,9.0,20955.0,19200.0,11,6,1,91.62,,5826.453125,1865.0369444444445
2025-10-08,Shed 4,56.7,7.0,21274.0,19500.0,7,5,16 p,91.66,,5766.0884375000005,1885.4075
2025-11-08,Shed 1,54.5,3.0,21259.0,19680.0,21,5,1,92.57,,5830.58328125,1896.2222222222222
2025-11-08,Shed 2,53.3,5.0,21138.0,19410.0,16,7,1,91.83,,5954.171718750001,1902.967569444444
2025-11-08,Shed 3,59.3,2.0,20953.0,18660.0,10,6,19 p,89.06,,5826.453125,1865.0369444444445
2025-11-08,Shed 4,57.1,3.0,21271.0,19710.0,13,6,1,92.66,,5766.0884375000005,1885.4075
2025-12-08,Shed 1,54.6,7.0,21252.0,19740.0,21,4,2,92.89,,5830.58328125,1896.2222222222222
2025-12-08,Shed 2,53.4,3.0,21135.0,19530.0,7,10,1,92.41,,5954.171718750001,1902.967569444444
2025-12-08,Shed 3,59.4,7.0,20946.0,18960.0,11,10,27 p,90.52,,5826.453125,1865.0369444444445
2025-12-08,Shed 4,57.2,3.0,21268.0,19980.0,9,8,1,93.94,,5766.0884375000005,1885.4075
2025-08-13,Shed 1,54.7,3.0,21249.0,19710.0,10,5,1,92.76,,5830.58328125,
2025-08-13,Shed 2,53.5,5.0,21130.0,18930.0,8,4,1,89.59,,5954.171718750001,
2025-08-13,Shed 3,59.5,6.0,20940.0,18540.0,10,2,1,88.54,,5826.453125,
2025-08-13,Shed 4,57.3,4.0,21264.0,19410.0,14,7,1,91.28,,5766.0884375000005,
2025-08-14,Shed 1,55.1,5.0,21244.0,19410.0,11,6,1,91.37,,5830.58328125,
2025-08-14,Shed 2,53.6,2.0,21128.0,19140.0,12,12,1,90.59,,5954.171718750001,
2025-08-14,Shed 3,59.6,3.0,20937.0,19350.0,8,6,27 p,92.42,,5826.453125,
2025-08-14,Shed 4,57.4,8.0,21256.0,19800.0,13,8,1,93.15,,5766.0884375000005,
2025-08-15,Shed 1,55.2,2.0,21242.0,19560.0,17,4,1,92.08,,5830.58328125,
2025-08-15,Shed 2,53.7,3.0,21125.0,19050.0,11,8,1,90.18,,5954.171718750001,
2025-08-15,Shed 3,59.7,6.0,20931.0,18210.0,9,6,1,87.0,,5826.453125,
2025-08-15,Shed 4,57.5,4.0,21252.0,19350.0,17,11,1,91.05,,5766.0884375000005,
2025-08-16,Shed 1,55.3,2.0,21240.0,19500.0,15,6,1,91.81,,5830.58328125,
2025-08-16,Shed 2,54.1,17.0,21108.0,19110.0,6,3,1,90.53,,5954.171718750001,
2025-08-16,Shed 3,60.1,5.0,20926.0,18540.0,11,4,1,88.6,,5826.453125,
2025-08-16,Shed 4,57.6,8.0,21244.0,19470.0,18,9,1,91.65,,5766.0884375000005,
2025-08-17,Shed 1,55.4,2.0,21238.0,19230.0,11,3,1,90.55,,5830.58328125,
2025-08-17,Shed 2,54.2,5.0,21103.0,18810.0,8,5,1,89.13,,5954.171718750001,
2025-08-17,Shed 3,60.2,9.0,20917.0,19080.0,10,5,1+10p,91.22,,5826.453125,
2025-08-17,Shed 4,57.7,4.0,21240.0,19590.0,10,9,1+20 p,92.23,,5766.0884375000005,
2025-08-18,Shed 1,55.5,0.0,21238.0,19200.0,11,10,1,90.4,,5830.58328125,1909.7777083333333
2025-08-18,Shed 2,54.3,7.0,21096.0,18960.0,17,9,1,89.87,,5954.171718750001,1900.6156944444442
2025-08-18,Shed 3,60.3,4.0,20913.0,18570.0,14,6,18 p,88.8,,5826.453125,1883.6296527777777
2025-08-18,Shed 4,58.1,3.0,21237.0,19380.0,20,8,1,91.26,,5766.0884375000005,1886.2297222222219
2025-08-19,Shed 1,55.6,4.0,21234.0,19290.0,0,4,1,90.84,,5830.58328125,1909.7777083333333
2025-08-19,Shed 2,54.4,5.0,21091.0,18960.0,8,0,1,89.9,,5954.171718750001,1900.6156944444442
2025-08-19,Shed 3,60.4,3.0,20910.0,18720.0,11,8,17 p,89.53,,5826.453125,1883.6296527777777
2025-08-19,Shed 4,58.2,8.0,21229.0,19290.0,16,8,1,90.87,,5766.0884375000005,1886.2297222222219
2025-08-20,Shed 1,55.7,4.0,21230.0,19380.0,19,7,1,91.29,,5830.58328125,1909.7777083333333
2025-08-20,Shed 2,54.5,6.0,21085.0,18360.0,12,3,13 p,87.08,,5954.171718750001,1900.6156944444442
2025-08-20,Shed 3,60.5,6.0,20904.0,18540.0,14,11,19 p,88.69,,5826.453125,1883.6296527777777
2025-08-20,Shed 4,58.3,11.0,21218.0,19260.0,11,4,1,90.77,,5766.0884375000005,1886.2297222222219
2025-08-21,Shed 1,56.1,1.0,21229.0,19440.0,11,10,1,91.57,,5830.58328125,1909.7777083333333
2025-08-21,Shed 2,54.6,5.0,21080.0,18630.0,12,4,1,88.38,,5954.171718750001,1900.6156944444442
2025-08-21,Shed 3,60.6,6.0,20898.0,18210.0,12,8,15 p,87.14,,5826.453125,1883.6296527777777
2025-08-21,Shed 4,58.4,4.0,21214.0,19500.0,28,4,3 p,91.92,,5766.0884375000005,1886.2297222222219
2025-08-22,Shed 1,56.2,2.0,21227.0,19470.0,18,8,1,91.72,,5830.58328125,1909.7777083333333
2025-08-22,Shed 2,54.7,5.0,21075.0,18390.0,7,5,1,87.26,,5954.171718750001,1900.6156944444442
2025-08-22,Shed 3,60.7,5.0,20893.0,18840.0,8,3,1,90.17,,5826.453125,1883.6296527777777
2025-08-22,Shed 4,58.5,3.0,21211.0,18930.0,10,4,1,89.25,,5766.0884375000005,1886.2297222222219
2025-08-23,Shed 1,56.3,3.0,21224.0,19470.0,13,6,1,91.74,,5830.58328125,1909.7777083333333
2025-08-23,Shed 2,55.1,1.0,21074.0,18510.0,8,6,1,87.83,,5954.171718750001,1900.6156944444442
2025-08-23,Shed 3,61.1,2.0,20891.0,18120.0,28,4,14 p,86.74,,5826.453125,1883.6296527777777
2025-08-23,Shed 4,58.6,7.0,21204.0,19350.0,7,4,18,91.26,,5766.0884375000005,1886.2297222222219
2025-08-24,Shed 1,56.4,3.0,21221.0,19350.0,7,4,1,91.18,,5830.58328125,1909.7777083333333
2025-08-24,Shed 2,55.2,6.0,21068.0,18570.0,20,7,1,88.14,,5954.171718750001,1900.6156944444442
2025-08-24,Shed 3,61.2,1.0,20890.0,18330.0,18,8,1,87.75,,5826.453125,1883.6296527777777
